SMILES,Affinity_kcal
CN1CCN(CCCN2c3ccccc3Sc3ccc(S(=O)(=O)N(C)C)cc32)CC1,-13.39
COCCOC[C@@H](CC1(C(=O)N[C@H]2CC[C@@H](C(=O)O)CC2)CCCC1)C(=O)Oc1ccc2c(c1)CCC2,-13.34
Nc1cc(Nc2cc(S(=O)(=O)O)c(N)c3c2C(=O)c2ccccc2C3=O)ccc1S(=O)(=O)O,-13.07
Cc1ccccc1NCc1nnc(-n2c(CNc3ccccc3C)nc3ccccc3c2=O)s1,-12.92
O=C(NCCN1CCN2Cc3[nH]c4ccccc4c3C[C@@H]2C1)c1ccc([N+](=O)[O-])cc1,-12.88
CC(C)N(CCOc1ccc(/N=C(/Nc2ccccc2)c2ccc(Cl)cc2)cc1)C(C)C,-12.49
O=[N+]([O-])c1ccc2c(NCCCCCCNc3c4ccccc4nc4cc([N+](=O)[O-])ccc34)c3ccccc3nc2c1,-12.44
C[C@H](NC(=O)[C@@H](Cc1ccccc1)NC(=O)CCCC[C@@H]1SC[C@@H]2NC(=O)N[C@@H]21)C(O)=C[N+]#N,-12.4
O=C(CCCCCCCCC(=O)OC1=CC(c2ccccc2)=CC1)OC1=C[C@H](c2ccccc2)C=C1,-12.32
O=C1CSC2(CCN(CCCN3c4ccccc4Sc4ccc(Cl)cc43)CC2)N1,-12.01
Cc1cc[n+](CC(=O)c2ccc(-c3ccc(C(=O)C[n+]4ccc(C)cc4)cc3)cc2)cc1,-11.94
O=C(Nc1ccc(S(=O)(=O)c2ccc(Br)cc2)cc1)Oc1ccccc1[N+](=O)[O-],-11.85
CN(CCCN1c2ccccc2CCc2ccccc21)CC(=O)c1ccc(Cl)cc1,-11.82
CCN(CC)c1ccc2c(-c3ccc(S(=O)(=O)Cl)cc3S(=O)(=O)[O-])c3ccc(=[N+](CC)CC)cc-3oc2c1,-11.79
O=C(O)[C@@H]1[C@H]2C[C@H]3c4[nH]c5ccccc5c4CCN3C[C@@H]2CC[C@@H]1O,-11.76
Cc1[nH]n(-c2cc(S(=O)(=O)O)ccc2Cl)c(=O)c1/N=N/c1cccc(S(=O)(=O)Nc2ccccc2)c1,-11.68
CN1CCN(CCC=C2c3ccccc3CCc3ccccc32)CC1,-11.64
CCO[C@@H]1O[C@H]([C@@H](COCc2ccccc2)OCc2ccccc2)[C@H](OCc2ccccc2)[C@H]1O,-11.63
C=CCN1C[C@H](C)N([C@H](c2ccc(C(=O)N(CC)CC)cc2)c2cccc(O)c2)C[C@@H]1C,-11.58
O=c1[nH]c2ccccc2n1C1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,-11.51
C=CC[C@@]1(C(C)C)C(=O)N(CCN2CCCCC2)C(=O)N(Cc2ccccc2)C1=O,-11.5
CC(=O)OCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)Cc3ccccc3)[C@H]2SC1,-11.46
O=S(=O)(O)c1ccccc1-c1c2ccc(Cl)cc2[o+]c2cc(Cl)ccc12,-11.46
C1CCCN(C[C@H]2CC[C@H](CN3CCCCCC3)CC2)CC1,-11.36
NS(=O)(=O)c1cc(C(=O)NN2C[C@@H]3[C@H]4CC[C@H](C4)[C@@H]3C2)ccc1Cl,-11.36
O=S(=O)(O)c1cc(-n2nc3ccc4ccccc4c3n2)ccc1C=Cc1ccccc1,-11.36
CC(=O)c1c(OCCCN2CCN(C)CC2)cccc1OCCCN1CCN(C)CC1,-11.32
Nc1ccc2c(S(N)(=O)=O)cccc2c1/N=N/c1ccc([N+](=O)[O-])cc1Cl,-11.31
O=C(CN1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O)NCCN1CCOCC1,-11.28
CCN(CC)c1ccc2c(c1)Oc1cc(C)cc(C)c1[C@]21OC(=O)c2ccccc21,-11.26
CCCCCCCS(=O)(=O)Nc1ccc(Nc2c3ccccc3nc3ncccc23)c(OC)c1,-11.15
O=C(OC1CCN(CCc2ccccc2)CC1)C(c1ccccc1)c1ccccc1,-11.13
O=C(O)CNC(=O)Nc1c2ccccc2cc2c1ccc1ccccc12,-11.12
O=c1c2ccccc2nc(C=Cc2ccccc2)n1-c1nnc(CN(c2ccccc2)c2ccccc2)s1,-11.02
O=C(N[C@@H](Cc1ccc(OCc2ccccc2)cc1)C(=O)O)OCc1ccccc1,-11.01
CN1CCC(CCCOC(=O)C2c3ccccc3-c3ccccc32)CC1,-10.98
Cc1cc(S(=O)(=O)N2CCNC2=O)c(SCCCN(C)C)cc1Cl,-10.95
OCCN1CCN(CCCN2c3ccccc3Sc3cccc(Cl)c32)CC1,-10.94
CCO[C@]1(c2ccccc2)C(=O)N(CCCN2CCOCC2)c2ccccc21,-10.93
O=C(CCCN1CCC(CO)(c2ccccc2O)CC1)c1ccc(F)cc1,-10.92
CN(C)S(=O)(=O)c1ccc2c(c1)[C@@H](N1CCNCC1)Cc1ccccc1S2,-10.86
CC(=O)O[C@@H](CCN1CCN(c2ccccc2)CC1)C(=O)c1ccc(F)cc1,-10.83
NC(=O)N1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,-10.83
C=CCN1CCc2cc(OC)c(OC)cc2[C@@H]1CCc1ccc([N+](=O)[O-])cc1,-10.81
Oc1ccc(Cl)cc1Cc1cc(Cl)cc(Cc2cc(Cl)ccc2O)c1O,-10.81
CO[C@@]1(NC(=O)CSC(F)F)C(=O)N2C(C(=O)O)=C(CSc3nnnn3CCO)CO[C@@H]21,-10.8
COc1ccccc1CN(C)N1C(=O)[C@@](CCN(C)C)(c2ccccc2)c2ccccc21,-10.78
Cn1c(=O)c2c(ncn2CCN2CCC(C(=O)c3ccc(F)cc3)CC2)n(C)c1=O,-10.74
C[C@]1(c2ccccc2)CN(CCN2CCOCC2)c2ccccc21,-10.71
CCCOc1cccc(NC(=O)O[C@H]2CCCC[C@@H]2N2CCCC2)c1,-10.71
COc1ccc2c3c1O[C@H]1[C@@H](OC(=O)c4cccnc4)C=C[C@H]4[C@@H](C2)N(C)CC[C@@]341,-10.69
Nc1nc(=O)c2cc(C[C@@H](C(=O)O)c3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)ccc2[nH]1,-10.69
COc1cc(C)c2[nH]c(C)c(CCN3C[C@H]4CC[C@H](CC4)C3)c2c1,-10.68
COC(=O)C1=CO[C@@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H]2[C@@H](C)[C@@H](O)C[C@H]12,-10.64
O=C1NC(=Cc2ccc([N+](=O)[O-])cc2)C(=O)N1c1cccc(Cl)c1,-10.64
CC1(C)Cc2cccc(OC(=O)NCSc3ccc(C(C)(C)C)cc3)c2O1,-10.6
CCN(CC)CC[C@]1(c2ccccc2)C(=O)N(N(C)Cc2cccc(OC)c2)c2ccccc21,-10.56
COc1cc(S(=O)(=O)O)c(C)cc1/N=N/c1c(O)ccc2cc(S(=O)(=O)O)ccc12,-10.56
Clc1ccc(C(OCCNN2CCOCC2)c2ccc(Cl)cc2)cc1,-10.53
CSc1nc(N)c2ncn([C@@H]3O[C@H](CO[P@@](=O)([O-])O[P@@](=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@@H]3O)c2n1,-10.53
CC(C)C[C@H]1Nc2cc(Cl)c(S(N)(=O)=O)cc2S(=O)(=O)N1,-10.51
CCN(CC)CCC[C@]1(c2ccccc2)C(=O)N(N(C)Cc2ccccc2Cl)c2ccccc21,-10.51
CCN(CC)CCCN1CCc2ccccc2S(=O)(=O)c2ccccc21,-10.51
CCN1CCC[C@@H]1CNC(=O)c1cc(NS(C)(=O)=O)c(C)cc1OC,-10.51
COc1cc2c(cc1OC)S(=O)(=O)O[C@H](C(=O)N[C@H](C)CC(C)(C)N(C)C)C2,-10.5
O=c1ccc2c(O)c(-c3ccccc3)coc-2c1CN1CCCCC1,-10.49
C#C[C@]1(OC(=O)C(C)(C)C)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21C,-10.48
C[N+](C)(C)Cc1cc2cc(Cc3ccc4[nH]c(C[N+](C)(C)C)cc4c3)ccc2[nH]1,-10.47
Oc1c(CN2CCCCC2)cc2oc(-c3ccccc3)cc2c1Br,-10.47
C1=CC[C@@H]([C@H]2OCC3(CO[C@H]([C@@H]4CC=CCC4)OC3)CO2)CC1,-10.46
CN(C)CCS(=O)(=O)C1c2ccccc2C=Cc2ccccc21,-10.45
CC(=O)N[C@H]1[C@H](Oc2ccc([N+](=O)[O-])cc2)O[C@H](CO)[C@H](O)[C@@H]1O,-10.44
[H]/N=C(\c1ccccc1)c1ccc2c(c1N)C(=O)c1ccccc1C2=O,-10.43
CCN(CC)CCNC(=O)[C@H](C)c1ccc(-c2ccccc2)cc1,-10.39
CCCC[C@@H](CC)CO[C@@H](CBr)c1cccc(C2CCCCC2)c1,-10.38
O=[N+]([O-])c1ccc(S(=O)(=O)c2ccc([N+](=O)[O-])cc2)cc1,-10.37
Clc1ccc2c(ccn2C2=CCN(CC3CC3)CC2)c1,-10.36
C=C[C@@H]1C[N@+]2(CCCCCC)CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12,-10.35
CCc1cc(CCN2C(=O)c3ccccc3C2=O)c(=O)[nH]c1C,-10.35
c1ccc(C[n+]2ccc(-c3cc[n+](Cc4ccccc4)cc3)cc2)cc1,-10.34
COc1cc(-c2ccc(NC(=O)CC(C)=O)c(OC)c2)ccc1NC(=O)CC(C)=O,-10.34
Cc1nc2ccccc2c(=O)n1N=C(/N=N/c1ccccc1)c1ccccc1Cl,-10.31
CON=C(C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(C[n+]3cccc4c3CCC4)CS[C@@H]12)c1cnc(N)s1,-10.28
Nc1nc(=O)c2ncn([C@@H]3O[C@@H](CO[P@@](=O)(O)O[P@@](=O)(O)OP(O)(O)=S)[C@H](O)[C@H]3O)c2[nH]1,-10.28
CC(C)c1ccccc1SN(C)C(=O)Oc1cccc2c1OC(C)(C)C2,-10.26
Cc1cc(C)c(O[P@@](=O)(Oc2ccccc2)Oc2c(C)cccc2C)c(C)c1,-10.26
Cc1ccc(S(=O)(=O)N2CCN(c3ccc(F)cc3)CC2)cc1,-10.26
O=C(O)c1ccccc1Oc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],-10.25
CN1CCN(CC(=O)c2ccc(S(C)(=O)=O)cc2)CC1,-10.23
Cc1ccc2cc3c(ccc4ccccc43)c3c2c1C[C@H]3O,-10.22
O=C(Nc1nc2ccc([N+](=O)[O-])cc2s1)c1ccc([N+](=O)[O-])cc1,-10.22
O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1CCN1CCCC1,-10.22
O=C(C=Cc1ccccc1)O[C@@H](CN1CCCCCC1)c1ccccc1,-10.21
CN(CCOC(=O)C(c1ccccc1)c1ccccc1)C1CCCCC1,-10.2
CCN(CC)C(=O)[C@H]1CN2CCc3cc(OC)c(OC)cc3[C@@H]2C[C@H]1OC(C)=O,-10.16
CCCCC[C@H](O)C=C[C@H]1[C@H](O)CC(=O)[C@@H]1CC=CCCCC(=O)OC,-10.14
CN[C@@H]1[C@@H](O)[C@@H](O[C@@H]2[C@@H](O)[C@H](O[C@H]3O[C@H]([C@@H](C)NC)CC[C@H]3N)[C@@H](N)C[C@H]2N)OC[C@]1(C)O,-10.13
COc1ccc2c(c1OC)C(=O)O[C@@H]2[C@H]1c2c(cc3c(c2OC)OCO3)CCN1C,-10.12
CCN(CC)C(=S)SC/C(=N\c1ccc(C)cc1)Nc1ccccc1,-10.11
CCN(CC)CCCN1C[C@@](CC)(c2ccccc2)c2ccccc21,-10.1
CO[C@@]12[C@H](COC(N)=O)C3=C(C(=O)C(C)=C(NCCO)C3=O)N1C[C@@H]1N[C@@H]12,-10.09
CC(=O)NCC1(c2ccccc2)CCN(Cc2ccccc2)CC1,-10.07
CC[C@H](C)[C@H](N)C(=O)N1CCC[C@H]1C(=O)N[C@H](C(=O)O)[C@@H](C)CC,-10.07
O=C(O)[C@@H](Cc1cc(I)c(O)c(I)c1)c1ccccc1,-10.05
CCCCCC1C(=O)N(C2CCCCC2)C(=O)N(C2CCCCC2)C1=O,-10.02
COc1cc([C@@H](c2ccccc2)c2cn(CC(=O)O)c3ccccc23)cc(OC)c1OC,-10.02
COc1ccc2nccc([C@@H](O)Cc3nccc4ccccc34)c2c1,-10.02
CC(C)(c1ccc2c(c1)C(=O)OC2=O)c1ccc2c(c1)C(=O)OC2=O,-10.01
C=CCC1(CC=C)C(=O)N(C2CCCCC2)C(=S)N(C2CCCCC2)C1=O,-10
CC(C)(C)NC[C@H](O)COc1ccc(-c2cc(=O)c3ccccc3o2)cc1,-10
CCN(CC)CCN1C[C@@](CC)(c2ccccc2)c2ccccc21,-9.99
CC(=O)N[C@H]1[C@H](O[P@](=O)(O)O[P@](=O)(O)OC[C@H]2O[C@@H](n3ccc(=O)[nH]c3=O)[C@H](O)[C@@H]2O)O[C@H](CO)[C@@H](O)[C@@H]1O,-9.98
Cc1ccccc1-n1c(C=Cc2ccccn2)nc2ccccc2c1=O,-9.98
CN(C)CCCNc1c2c(nc3ccccc13)CCCCC2,-9.98
CNC(=O)[C@H](CC(=O)Nc1nnc(CC(C)C)s1)S(=O)(=O)O,-9.96
CN1CC[C@H]2CCC[C@H](NC(=O)c3ccc(Cl)cc3)[C@H]2C1,-9.95
O=S(=O)(c1cccc2cnccc12)N1CCCNCC1,-9.95
CCCCCCCCCCCCCCc1ccc(S(=O)(=O)O)cc1,-9.94
CCC[C@H](CN(CC)CC)Oc1ccc(C(=O)Oc2ccc(OC)cc2)cc1,-9.93
CCN(CC)CCC[C@](C(=O)O)(c1cccc2ccccc12)C(C)C,-9.89
COc1cc(N)c(/N=N/c2ccc([N+](=O)[O-])cc2Cl)cc1C,-9.89
CN(C)CCCc1cc(-c2ccccc2)oc1-c1ccccc1,-9.86
CC(C)(C)NCC(=O)N1c2ccccc2CCc2ccccc21,-9.83
CCCC[N+](C)(C)c1ccc(C2C(C(=O)OC)=C(C)NC(C)=C2C(=O)OC)cc1,-9.82
O=C(c1cccc2ccccc12)N(CC1=NCCN1)c1ccccc1,-9.82
CN1[C@@H]2CC[C@H]1C[C@H](OC(c1ccccc1)c1ccccc1)C2,-9.81
CC(=O)Oc1cc2c(c(OC(C)=O)c1)[C@H]1CC[C@]3(C)C(=O)CC[C@@H]3[C@H]1CC2,-9.8
CCN(CC)CC#CCN1C(=O)N(CC#CCN(CC)CC)C(=O)C(CC)(CC)C1=O,-9.8
C[C@@H]1CN1C1=CC(=O)c2c(c(CO)c(-c3ccccc3)n2C)C1=O,-9.79
C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](C3=CC(=O)OC3)CC[C@]12O,-9.79
C=CCc1cc(C(C)(C)c2ccc(O)c(CC=C)c2)ccc1O,-9.79
O=C(Nc1ccccc1)c1ccc([N+](=O)[O-])cc1[N+](=O)[O-],-9.79
CC[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12,-9.77
CN1CC[C@@H](COC(=O)[C@@](O)(c2ccccc2)C2CCCCC2)C1,-9.74
CCCCCCNC(=O)c1ccc(OC[C@H](O)CNC(C)C)cc1,-9.71
CCN(CC)CCN(C(=O)c1cccc2ccccc12)c1ccccc1,-9.7
C[C@H]1c2ccccc2CCc2cccc(CCCN(C)C)c21,-9.68
Cc1ccc([C@H]2c3cc(O)ccc3[C@H]3NCCC[C@@H]23)cc1N,-9.67
C=C(C)C(=O)O[C@H]1CC(CO)=C[C@H](O)CC(C)=C[C@@H]2OC(=O)C(=C)[C@H]21,-9.65
CC(=O)Nc1ccc(C(=O)C=Cc2ccc([N+](=O)[O-])o2)cc1,-9.65
O=C(C=Cc1ccc([N+](=O)[O-])o1)c1ccccc1[N+](=O)[O-],-9.65
CCCCS(=O)(=O)c1nnc(N(C)c2nc3ccccc3[nH]2)s1,-9.62
CS(=O)(=O)c1ccc(C(=O)CNc2ccccc2)cc1,-9.62
C1CN(C[C@H]2CO2)CCC1C1CCN(C[C@H]2CO2)CC1,-9.61
Oc1ccc2c(c1)[C@]13CCN(CC4CC4)[C@@H](C2)[C@@H]1CCOC3,-9.61
Clc1ccccc1Nc1nc(Nc2ccccc2Cl)nc(Nc2ccccc2Cl)n1,-9.6
C[C@H](c1cc(CCc2ccccc2)ccc1CO)n1ccnc1,-9.58
NS(=O)(=O)c1ccc(C(=O)NCc2ccccc2)cc1,-9.58
COc1cc(Br)cc2c1O[C@@H](c1ccc(Cl)cc1)C([N+](=O)[O-])=C2,-9.55
CN1CCN(c2c3c(nc4ccccc24)CCCC3)CC1,-9.54
O=C(CCCN1CCC2(CCCC2)C1)c1ccc(F)cc1,-9.53
CN(C)CCCN1c2cc(Cl)ccc2CCc2ccc(Cl)cc21,-9.52
CC(C)[N@+]1(C)[C@@H]2CC[C@H]1C[C@H](OC(=O)[C@H](CO)c1ccccc1)C2,-9.51
CCN(CC(=O)NCn1cnc2ccccc2c1=O)c1ccccc1,-9.5
CCN(CC)CCNC(=O)c1cc(Cl)c(NC(C)=O)cc1OC,-9.5
CCn1c2c(c3ccccc31)CCC[C@]2(CC)CCN(C)C,-9.5
CON=C(C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=CCS[C@H]12)c1cnc(N)s1,-9.5
CCCOc1ccc(C(=O)[C@H](CC)CN2CCCCC2)cc1,-9.49
O=C(Nc1ccc(Oc2ccc(Cl)cc2)c(Cl)c1)c1cc(I)cc(I)c1O,-9.49
Cc1cc(O)c(C(C)(C)C)cc1Cc1cc(C(C)(C)C)c(O)cc1C,-9.46
CN(C)[C@@H](CCOc1cccc2ccccc12)c1ccccc1,-9.46
COc1c(NC(=O)OC(C)C)c(OCCN2CCCCC2)c(OC)c2occc12,-9.45
CC[C@@H]1CN(C)[C@@H]2Cc3c([nH]c4ccccc34)C(=O)C[C@H]1[C@@H]2C(=O)OC,-9.44
CC(C)[C@@H]1CC[C@@H](Cc2ccc(Cl)cc2)[C@]1(O)Cn1cncn1,-9.43
COc1cc(C(=O)N2CCN(c3ccccc3)CC2)cc(OC)c1OC,-9.43
COc1cc2c(OCCCN(C)C)c3c(nc2c(OC)c1OC)CCCCC3,-9.43
CC1(C)C[C@H](NC(=O)[C@]23C[C@H]4C[C@H](C[C@H](C4)C2)C3)C(=O)O1,-9.42
CCC1(CC#CCN2CCCC2)C(=O)NC(=O)NC1=O,-9.42
Cc1c(-c2ccccc2)oc2c(CN3CCCCC3)c(=O)ccc-2c1O,-9.41
CN(C)CCN1c2cc(Cl)ccc2C(=O)N[C@@H]1c1ccc(Cl)cc1,-9.41
CCOC(=O)CN(C)CCC(=O)c1ccc(-c2ccccc2)cc1,-9.39
CO[C@]1(C)CC[C@@]23C[C@@H]1C(C)(C)[C@@H]2CC[C@H]3C,-9.39
O=c1c2ccccc2nc(OCc2ccccc2)n1-c1ccccn1,-9.39
CCOC(=O)[C@](C)(N)Cc1cc(I)c(Oc2cc(I)c(O)c(I)c2)c(I)c1,-9.38
CN1C[C@@H](NC(=O)C(C)(C)C)C[C@@H]2c3cccc4[nH]c(Cl)c(c34)C[C@H]21,-9.38
C[C@]12C[C@@H]3C[C@](C)(C1)C[C@@](C/N=C(/N)CS)(C3)C2,-9.36
c1ccc(-c2ccc3c(ccc4ccccc43)c2)cc1,-9.36
CCN(CC)CCNC(=O)c1cc(OCCOC)nc2ccccc12,-9.36
COC(=O)C=Cc1ccc(N(c2ccccc2)c2ccccc2)cc1,-9.36
Nc1ccc(NC(=O)Nc2ccc(N)c(S(=O)(=O)O)c2)cc1S(=O)(=O)O,-9.36
CN(c1ccc(Cl)cc1)S(=O)(=O)c1ccc(Cl)cc1,-9.32
CCCCCC[C@@H](C)Nc1ccc(N[C@H](C)CCCCCC)cc1,-9.31
CNC1CN(C2c3ccccc3C=Cc3ccccc32)C1,-9.3
COc1ccc([C@]2(C)NC(=O)N(CN3CCOCC3)C2=O)cc1,-9.3
CCCCN(CCCC)C(=O)c1ccc(/N=C(\N)N=C(N)N)cc1,-9.29
COc1cc2c(c(OC)c1OC)-c1ccc(SC)c(=O)cc1[C@@H](NC(C)=O)CC2,-9.29
NS(=O)(=O)c1cc(C(=O)O)cc(N2CCCC2)c1Oc1ccccc1,-9.29
CN(C)c1ccc(-c2sc3c([n+]2C)CCCCC3)cc1,-9.28
Oc1c(Cl)cc(Oc2c(Cl)cc(Cl)cc2Cl)c(Cl)c1Cl,-9.27
C=CCN1C(=O)C(=CC=C2N(C)N=NN2CC)SC1=S,-9.26
COc1c(Cl)cc(Oc2c(Cl)cc(Cl)cc2Cl)cc1Cl,-9.26
COc1ccc2c(c1)CC[C@@H](c1ccccc1)[C@]2(O)c1ccncc1,-9.25
CCC(=O)N(c1ccc(Cl)c(Cl)c1)[C@@H]1CCC[C@H]1N(C)C,-9.22
CN(C)c1ccc(OCCCCCCOc2ccc(N(C)C)cc2)cc1,-9.22
CN(C)CCN1C(=O)[C@@H](c2ccccc2)c2ccccc21,-9.21
CON1C(C)(C)CC(OC(=O)NP(=O)(N2CC2)N2CC2)CC1(C)C,-9.2
CCCCCCCCCCc1ccc(S(=O)(=O)O)cc1,-9.19
CCCCCS[C@@H](C)[C@@]1(CCCC)C(=O)N=C(S)NC1=O,-9.19
CCN(CC)CCC[C@]1(c2ccccc2)C(=O)Oc2ccccc21,-9.19
Nc1ccccc1Nc1c2ccccc2nc2ccccc12,-9.19
O=C(N[C@H](CO)[C@H](O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl,-9.19
Cc1nc2ccccc2c(=O)n1CCOC(=O)c1ccncc1,-9.18
O=C1NN(Cc2ccccc2)C(=O)Nc2ccccc21,-9.18
CC(=O)c1ccc(OCCCCCOc2ccc(N)cc2)cc1,-9.17
CCCCCCN(C)C(=O)c1cccc(Oc2ccccc2)c1,-9.15
CCOC(=O)CCCCCCCC[C@@H](C)c1ccc(I)cc1,-9.15
CCCc1cc(C(=O)O)cc(CCC)c1OCc1ccccc1,-9.14
Clc1ccc(Oc2c(Cl)cc(Cl)c(Cl)c2Cl)c(Cl)c1,-9.13
C[C@]12CCC(=O)C=C1[C@@H]1C[C@@H]1[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@@]2(O)CCC(=O)O,-9.11
CCCCCCCCCCCC=NNc1ccc([N+](=O)[O-])cn1,-9.09
CC[C@](CCN(C)C)(OC(=O)COc1ccccc1)c1ccccc1,-9.08
CN(C)CCCN1C(=O)c2ccccc2Nc2ccccc21,-9.08
COc1ccc(CN(C)/N=N/c2ccc(C(=O)O)cc2)cc1,-9.08
CCOP(=S)(OCC)Sc1nc(Cl)nc(SP(=S)(OCC)OCC)n1,-9.07
Nc1cnc(/N=N/c2c(I)cc(I)c(C(=O)O)c2I)c(N)c1,-9.07
Cc1ccc2nc3c(c(NCC(C)C)c2c1)CCCC3,-9.06
CCN(CC)CCOC(=O)[C@](O)(c1cccs1)[C@@H]1C=CCC1,-9.06
CN1CC[C@]23c4c5ccc(O)c4O[C@@H]2C(=O)CC[C@]3(O)[C@H]1C5,-9.06
C=C(C)[C@@H]1CCC(C)=C[C@H]1c1c(O)cc(O)cc1CCCCC,-9.04
c1ccc(CP(Cc2ccccc2)Cc2ccccc2)cc1,-9.04
O=C(NC=CNC(=O)Sc1ccccc1)Sc1ccccc1,-9.04
O=C(O[C@H]1Cc2c(O)cc(O)cc2O[C@H]1c1ccc(O)c(O)c1)c1cc(O)c(O)c(O)c1,-9.04
CC(=O)Nc1ccc2c(c1)[C@H](O)c1ccccc1-2,-9.02
CCN(CCC#N)c1ccc(/N=N/c2nc3cc(Cl)cc(Cl)c3s2)cc1,-9.02
Cn1c(=O)c2c(ncn2CCNCc2cccnc2)n(C)c1=O,-9.02
O=C(CC1C=CC=CC=C1)OCCN1CCCCC1,-9.02
O=C1c2ccc(Cl)cc2-c2cc(Cl)ccc21,-9.02
c1c2c(cc3c1OCO3)-c1cc3ccc4c(c3c[n+]1CC2)OCO4,-9
CN(C)C(=O)Nc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],-8.97
CC(=O)[C@@H]1CC[C@@H]2[C@H](CCC3=CC(=O)CC[C@H]32)C1,-8.96
